,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url,explicit,popularity
274,474,666,710,1095,934,John Legend,Minefields,Minefields,1OU4E4HiVjdak0mL4blVWT,0.476,0.686,1,-5.019,0,0.11,0.0,0.0997,0.243,152.617,190606,4,https://p.scdn.co/mp3-preview/79309bdfd6d9fbea888dc0e8dc4b4dc0b00fe057?cid=a8d47110797841a4a391cfea300f7b78,False,75
275,475,667,711,1096,935,John Legend,Bigger Love,Wild (feat. Gary Clark Jr.),4rVW6XqAsSaf5vOwc8FREW,0.557,0.585,8,-6.201,1,0.0431,0.0,0.176,0.305,63.392,196907,4,https://p.scdn.co/mp3-preview/67ad0f49cda5390f6210c9fdd25e2cc061d40a70?cid=a8d47110797841a4a391cfea300f7b78,False,74
277,490,684,728,1124,963,James Arthur,Back from the Edge,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,1,0.059,0.0,0.0902,0.494,85.043,211467,4,https://p.scdn.co/mp3-preview/00825cb1779b31d68964eda6f2a7911fc2ae96c6?cid=a8d47110797841a4a391cfea300f7b78,False,85
278,491,685,729,1125,964,James Arthur,Back from the Edge,Train Wreck,55Am8neGJkdj2ADaM3aw5H,0.311,0.485,6,-5.726,0,0.0365,0.0,0.0726,0.225,77.355,208827,4,https://p.scdn.co/mp3-preview/7630273bed15c2d02e6fc2a5a39a3f9f46092795?cid=a8d47110797841a4a391cfea300f7b78,False,82
279,492,686,730,1126,965,James Arthur,James Arthur (Deluxe),Impossible,5yVIlYEHZxQVLyInCdldoS,0.376,0.695,0,-4.782,0,0.0933,0.0,0.11,0.302,169.533,209440,4,https://p.scdn.co/mp3-preview/a13974858d1b0d77ce6f62b7a1690e49bfd049c4?cid=a8d47110797841a4a391cfea300f7b78,False,77
280,493,687,731,1127,966,James Arthur,Back from the Edge,Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,0.696,0.543,11,-6.164,1,0.0489,0.0,0.0939,0.479,107.969,246880,4,https://p.scdn.co/mp3-preview/b2ff093a841870fe7d42fde3689e54222d581d88?cid=a8d47110797841a4a391cfea300f7b78,False,77
281,494,688,732,1128,967,James Arthur,Lasting Lover,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.676,0.786,1,-4.529,1,0.0478,0.0,0.0943,0.483,125.983,218359,4,https://p.scdn.co/mp3-preview/d1b8e3f81518223c8d693037fcdaf6acdee081c7?cid=a8d47110797841a4a391cfea300f7b78,False,76
282,496,690,734,1130,969,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),6mQLN3zRtAp6ovjusyYKrV,0.67,0.743,10,-4.993,1,0.0393,0.0,0.465,0.571,125.944,218293,4,https://p.scdn.co/mp3-preview/d3b9071d04ca78ce322c3f8e2304dd13c9cae5f8?cid=a8d47110797841a4a391cfea300f7b78,False,74
283,497,691,735,1131,970,James Arthur,YOU,Falling Like The Stars,395KzBy0bkb57dEvg6cfzJ,0.3,0.347,6,-9.542,1,0.0364,2.14e-06,0.111,0.164,169.361,211653,3,https://p.scdn.co/mp3-preview/89d3c59b79c33e18faf27ce2412b588535fccf06?cid=a8d47110797841a4a391cfea300f7b78,False,71
284,500,694,738,1148,987,OneRepublic,Golden Hour,Lose Somebody,1sgDyuLooyvEML4oHspNza,0.58,0.586,1,-6.883,1,0.0357,0.0,0.0755,0.507,147.988,199549,4,https://p.scdn.co/mp3-preview/f1d4debe683b58e38fe1bb71d5fdc8bbf0bccae6?cid=a8d47110797841a4a391cfea300f7b78,False,75
288,508,707,751,1187,1026,Shawn Mendes,KESI (Remix),KESI - Remix,0IqCoZ168iRc9LqfrYgpZy,0.871,0.815,4,-4.439,1,0.0477,6.18e-06,0.094,0.823,122.959,176575,4,https://p.scdn.co/mp3-preview/a5e5c6e17c653ec43447b072b532321ca03d18c1?cid=a8d47110797841a4a391cfea300f7b78,False,82
302,571,807,851,1346,1185,Sam Smith,Promises (with Sam Smith),Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,0.781,0.768,11,-5.991,1,0.0394,4.91e-06,0.325,0.486,123.07,213309,4,https://p.scdn.co/mp3-preview/c78e0a33c394091314b35a2fd42b0102cc8fb1cd?cid=a8d47110797841a4a391cfea300f7b78,False,76
